energy (eV),92238->92238,92238->6012,6012->92238,6012->6012
10,1,0,0,1
10.5,1,0,0,1
11.025,1,0,0,1
11.5763,1,0,0,1
12.1551,1,0,0,1
12.7628,1,0,0,1
13.401,1,0,0,1
14.071,1,0,0,1
14.7746,1,0,0,1
15.5133,1,0,0,1
16.2889,1,0,0,1
17.1034,1,0,0,1
17.9586,1,0,0,1
18.8565,1,0,0,1
19.7993,1,0,0,1
20.7893,1,0,0,1.00295
21.8287,1,0,0,1.01096
22.9202,1,0,0,1.02209
24.0662,1,0,0,1.03591
25.2695,1,0,0,1.05225
26.533,1,0,0,1.07092
27.8596,1,0,0,1.09197
29.2526,1,0,0,1.11485
30.7152,1,0,0,1.14006
32.251,1,0,0,1.16717
33.8635,1,0,0,1.19668
35.5567,1,0,0,1.2278
37.3346,1,0,0,1.26098
39.2013,1,0,0,1.29627
41.1614,1,0,0,1.33366
43.2194,1,0,0,1.37303
45.3804,1,0,0,1.41476
47.6494,1,0,0,1.45865
50.0319,1,0,0,1.505
52.5335,1,0,0,1.55359
55.1602,0.999613,0.000386829,0,1.6042
57.9182,0.995207,0.00479267,0,1.65763
60.8141,0.98846,0.0115404,0,1.71354
63.8548,0.979681,0.0203192,0,1.77186
67.0475,0.968999,0.0310009,0,1.83334
70.3999,0.958542,0.0434707,0,1.897
73.9199,0.969282,0.0579061,0,1.96281
77.6159,0.972416,0.0741349,0,2.03181
81.4967,0.973916,0.0921762,0,2.10369
85.5715,0.974875,0.11205,0,2.17871
89.8501,0.975603,0.133785,0,2.25683
94.3426,0.976023,0.157414,0,2.33846
99.0597,0.976225,0.182983,0,2.42339
104.013,0.976266,0.210541,0,2.51204
109.213,0.976176,0.240148,0,2.60435
114.674,0.975978,0.271872,0,2.7005
120.408,0.975711,0.305777,0,2.80067
126.428,0.983621,0.342,0,2.9049
132.749,0.996699,0.380635,0,3.01347
139.387,1.0133,0.42182,0,3.12663
146.356,1.03359,0.465659,0,3.24404
153.674,1.05628,0.512326,0,3.36643
161.358,1.08222,0.561954,0,3.4936
169.426,1.111,0.614637,0,3.62565
177.897,1.14212,0.67057,0,3.7629
186.792,1.17597,0.72996,0,3.9055
196.131,1.21244,0.792976,0,4.05369
205.938,1.25129,0.859833,0,4.20789
